date,open,high,low,close
"2022-09-09 10:01:00",17897,17903,17896,17902
"2022-09-09 10:02:00",17902,17904,17899,17901
"2022-09-09 10:03:00",17900,17902,17897,17900
"2022-09-09 10:04:00",17899,17903,17899,17901
"2022-09-09 10:05:00",17902,17906,17902,17904
"2022-09-09 10:06:00",17904,17904,17901,17901
"2022-09-09 10:07:00",17902,17903,17901,17902
"2022-09-09 10:08:00",17902,17908,17902,17907
"2022-09-09 10:09:00",17907,17907,17904,17906
"2022-09-09 10:10:00",17906,17907,17905,17906
"2022-09-09 10:11:00",17906,17909,17905,17905
"2022-09-09 10:12:00",17905,17906,17902,17905
"2022-09-09 10:13:00",17905,17905,17897,17898
"2022-09-09 10:14:00",17898,17899,17894,17894
"2022-09-09 10:15:00",17892,17895,17892,17894
"2022-09-09 10:16:00",17894,17896,17891,17895
"2022-09-09 10:17:00",17894,17898,17894,17895
"2022-09-09 10:18:00",17895,17902,17895,17902
"2022-09-09 10:19:00",17902,17908,17902,17908
"2022-09-09 10:20:00",17908,17915,17908,17912
"2022-09-09 10:21:00",17913,17914,17909,17912
"2022-09-09 10:22:00",17911,17914,17909,17910
"2022-09-09 10:23:00",17911,17912,17909,17910
"2022-09-09 10:24:00",17911,17913,17909,17910
"2022-09-09 10:25:00",17910,17910,17907,17908
"2022-09-09 10:26:00",17908,17908,17903,17904
"2022-09-09 10:27:00",17904,17908,17904,17907
"2022-09-09 10:28:00",17907,17908,17904,17905
"2022-09-09 10:29:00",17905,17906,17903,17904
"2022-09-09 10:30:00",17903,17906,17903,17906
"2022-09-09 10:31:00",17906,17911,17906,17909
"2022-09-09 10:32:00",17909,17910,17908,17910
"2022-09-09 10:33:00",17910,17913,17910,17912
"2022-09-09 10:34:00",17913,17913,17911,17913
"2022-09-09 10:35:00",17912,17915,17912,17913
"2022-09-09 10:36:00",17913,17917,17912,17916
"2022-09-09 10:37:00",17917,17919,17916,17919
"2022-09-09 10:38:00",17918,17919,17915,17916
"2022-09-09 10:39:00",17916,17917,17910,17912
"2022-09-09 10:40:00",17912,17913,17905,17906
"2022-09-09 10:41:00",17906,17907,17902,17902
"2022-09-09 10:42:00",17902,17905,17899,17899
"2022-09-09 10:43:00",17899,17901,17897,17897
