Date,Open,High,Low,Close
2022-08-17 13:15:00,17934,17942,17930,17931
2022-08-17 13:20:00,17931,17939,17929,17936
2022-08-17 13:25:00,17936,17938,17931,17935
2022-08-17 13:30:00,17935,17938,17927,17933
2022-08-17 13:35:00,17935,17944,17932,17941
2022-08-17 13:40:00,17941,17944,17934,17942
2022-08-17 13:45:00,17941,17942,17922,17923
2022-08-17 13:50:00,17923,17932,17923,17929
2022-08-17 13:55:00,17929,17931,17920,17930
2022-08-17 14:00:00,17930,17934,17920,17920
2022-08-17 14:05:00,17920,17926,17917,17921
2022-08-17 14:10:00,17921,17929,17919,17924
2022-08-17 14:15:00,17924,17936,17916,17933
2022-08-17 14:20:00,17934,17943,17930,17941
2022-08-17 14:25:00,17942,17944,17937,17938
2022-08-17 14:30:00,17937,17940,17931,17935
2022-08-17 14:35:00,17933,17936,17930,17934
2022-08-17 14:40:00,17934,17945,17933,17939
2022-08-17 14:45:00,17938,17951,17938,17949
2022-08-17 14:50:00,17948,17950,17941,17947
2022-08-17 14:55:00,17947,17953,17946,17950
2022-08-17 15:00:00,17949,17965,17949,17962
2022-08-17 15:05:00,17962,17963,17957,17959
2022-08-17 15:10:00,17958,17960,17946,17947
2022-08-17 15:15:00,17947,17947,17937,17944
2022-08-17 15:20:00,17943,17944,17933,17934
2022-08-17 15:25:00,17934,17936,17927,17931
2022-08-17 15:30:00,17926,17926,17926,17926
2022-08-18 09:15:00,17906,17924,17886,17915
2022-08-18 09:20:00,17915,17917,17895,17895
2022-08-18 09:25:00,17896,17896,17871,17875
2022-08-18 09:30:00,17875,17890,17864,17883
2022-08-18 09:35:00,17881,17905,17880,17904
2022-08-18 09:40:00,17905,17925,17902,17920
2022-08-18 09:45:00,17921,17930,17916,17919
2022-08-18 09:50:00,17920,17942,17920,17935
2022-08-18 09:55:00,17936,17942,17933,17939
2022-08-18 10:00:00,17940,17954,17940,17950
2022-08-18 10:05:00,17950,17952,17943,17952
2022-08-18 10:10:00,17952,17954,17939,17939
2022-08-18 10:15:00,17939,17941,17929,17932
2022-08-18 10:20:00,17931,17935,17923,17930
2022-08-18 10:25:00,17930,17930,17894,17899
2022-08-18 10:30:00,17899,17900,17890,17893
2022-08-18 10:35:00,17893,17908,17892,17906
2022-08-18 10:40:00,17905,17916,17901,17913
2022-08-18 10:45:00,17913,17917,17909,17911
2022-08-18 10:50:00,17911,17919,17910,17915
2022-08-18 10:55:00,17915,17921,17914,17920
2022-08-18 11:00:00,17921,17921,17910,17912
2022-08-18 11:05:00,17912,17916,17907,17909
2022-08-18 11:10:00,17910,17910,17902,17903
2022-08-18 11:15:00,17904,17904,17884,17887
2022-08-18 11:20:00,17887,17894,17883,17885
2022-08-18 11:25:00,17885,17887,17874,17877
2022-08-18 11:30:00,17876,17877,17862,17870
2022-08-18 11:35:00,17869,17885,17869,17881
2022-08-18 11:40:00,17882,17887,17880,17884
2022-08-18 11:45:00,17884,17884,17869,17882
2022-08-18 11:50:00,17882,17884,17871,17875
2022-08-18 11:55:00,17876,17880,17862,17865
2022-08-18 12:00:00,17864,17866,17853,17861
2022-08-18 12:05:00,17860,17872,17860,17866
2022-08-18 12:10:00,17866,17871,17863,17870
2022-08-18 12:15:00,17870,17874,17867,17871
2022-08-18 12:20:00,17871,17881,17870,17881
2022-08-18 12:25:00,17881,17886,17877,17878
2022-08-18 12:30:00,17877,17891,17876,17886
2022-08-18 12:35:00,17886,17892,17882,17891
2022-08-18 12:40:00,17890,17898,17886,17898
2022-08-18 12:45:00,17897,17898,17884,17884
2022-08-18 12:50:00,17884,17888,17877,17887
2022-08-18 12:55:00,17888,17891,17885,17891
2022-08-18 13:00:00,17891,17897,17891,17893
2022-08-18 13:05:00,17894,17902,17885,17900
2022-08-18 13:10:00,17902,17907,17898,17902
